accountId,creditLineLimitType,limitAmount,usedAmount,availableAmount
43593317-c8d0-47a8-a954-15eedc717740,LIMITE_CREDITO_TOTAL,"{'amount': 19157.47, 'currency': 'BRL'}","{'amount': 17623.12, 'currency': 'BRL'}","{'amount': 1534.3500000000022, 'currency': 'BRL'}"
0a5f69a1-9969-4659-a7ac-8918ee972a8c,LIMITE_CREDITO_TOTAL,"{'amount': 13817.88, 'currency': 'BRL'}","{'amount': 7252.52, 'currency': 'BRL'}","{'amount': 6565.359999999999, 'currency': 'BRL'}"
0696369a-a7c1-41d4-966a-3ec1e32f3001,LIMITE_CREDITO_TOTAL,"{'amount': 3310.1, 'currency': 'BRL'}","{'amount': 2972.84, 'currency': 'BRL'}","{'amount': 337.25999999999976, 'currency': 'BRL'}"
a59420fa-a187-4458-ad52-d8f1d9011691,LIMITE_CREDITO_TOTAL,"{'amount': 276.77, 'currency': 'BRL'}","{'amount': 189.69, 'currency': 'BRL'}","{'amount': 87.07999999999998, 'currency': 'BRL'}"
142157f5-23f5-4f02-8a73-8250bdfe705c,LIMITE_CREDITO_TOTAL,"{'amount': 2958.73, 'currency': 'BRL'}","{'amount': 1720.14, 'currency': 'BRL'}","{'amount': 1238.59, 'currency': 'BRL'}"
80c46547-d443-4fea-88a8-91006ed2bd80,LIMITE_CREDITO_TOTAL,"{'amount': 1923.45, 'currency': 'BRL'}","{'amount': 337.11, 'currency': 'BRL'}","{'amount': 1586.3400000000001, 'currency': 'BRL'}"
97240a3c-5c6e-4432-9bb2-de6caa8f94f7,LIMITE_CREDITO_TOTAL,"{'amount': 25761.24, 'currency': 'BRL'}","{'amount': 16814.12, 'currency': 'BRL'}","{'amount': 8947.120000000003, 'currency': 'BRL'}"
ee258dce-5c52-45bc-9761-a238bc3cb8b3,LIMITE_CREDITO_TOTAL,"{'amount': 5626.04, 'currency': 'BRL'}","{'amount': 4962.4, 'currency': 'BRL'}","{'amount': 663.6400000000003, 'currency': 'BRL'}"
1ba72ad7-2da7-4f6f-9d34-97d10503de64,LIMITE_CREDITO_TOTAL,"{'amount': 597.34, 'currency': 'BRL'}","{'amount': 75.14, 'currency': 'BRL'}","{'amount': 522.2, 'currency': 'BRL'}"
e8eb8a85-ceff-4126-aee5-c9ddb9da34ed,LIMITE_CREDITO_TOTAL,"{'amount': 692.58, 'currency': 'BRL'}","{'amount': 178.32, 'currency': 'BRL'}","{'amount': 514.26, 'currency': 'BRL'}"
d025c735-5a1b-45a6-97da-b98dc5a8155c,LIMITE_CREDITO_TOTAL,"{'amount': 4736.48, 'currency': 'BRL'}","{'amount': 1568.27, 'currency': 'BRL'}","{'amount': 3168.2099999999996, 'currency': 'BRL'}"
08a5c2cb-c2de-41da-976a-114607c1e920,LIMITE_CREDITO_TOTAL,"{'amount': 18165.08, 'currency': 'BRL'}","{'amount': 1157.24, 'currency': 'BRL'}","{'amount': 17007.84, 'currency': 'BRL'}"
e2a4cc5b-fa98-42ed-89a8-7e684209a346,LIMITE_CREDITO_TOTAL,"{'amount': 857.71, 'currency': 'BRL'}","{'amount': 73.52, 'currency': 'BRL'}","{'amount': 784.19, 'currency': 'BRL'}"
3c92e887-6950-49fd-aae7-c0ce85082b4e,LIMITE_CREDITO_TOTAL,"{'amount': 82656.1, 'currency': 'BRL'}","{'amount': 48383.45, 'currency': 'BRL'}","{'amount': 34272.65000000001, 'currency': 'BRL'}"
9d481c49-368c-4024-bf58-d65d87fd8fd5,LIMITE_CREDITO_TOTAL,"{'amount': 91636.79, 'currency': 'BRL'}","{'amount': 62866.5, 'currency': 'BRL'}","{'amount': 28770.289999999994, 'currency': 'BRL'}"
2eb8178b-e21c-490d-82b9-b443e2cdf8d8,LIMITE_CREDITO_TOTAL,"{'amount': 3702.92, 'currency': 'BRL'}","{'amount': 2479.89, 'currency': 'BRL'}","{'amount': 1223.0300000000002, 'currency': 'BRL'}"
5d97f08f-bb23-4749-b775-14343f1ecb95,LIMITE_CREDITO_TOTAL,"{'amount': 541.52, 'currency': 'BRL'}","{'amount': 206.17, 'currency': 'BRL'}","{'amount': 335.35, 'currency': 'BRL'}"
bd125b4a-3856-43c5-bc38-1c92027cee98,LIMITE_CREDITO_TOTAL,"{'amount': 6227.5, 'currency': 'BRL'}","{'amount': 1888.87, 'currency': 'BRL'}","{'amount': 4338.63, 'currency': 'BRL'}"
856e2a01-e962-47a0-8423-dbf0899c2e9e,LIMITE_CREDITO_TOTAL,"{'amount': 5093.83, 'currency': 'BRL'}","{'amount': 3054.19, 'currency': 'BRL'}","{'amount': 2039.6399999999999, 'currency': 'BRL'}"
0348cb08-d7c1-4550-bad5-1889afe71674,LIMITE_CREDITO_TOTAL,"{'amount': 968.38, 'currency': 'BRL'}","{'amount': 196.49, 'currency': 'BRL'}","{'amount': 771.89, 'currency': 'BRL'}"
0f64b744-1695-483c-9ecd-424b24507bc0,LIMITE_CREDITO_TOTAL,"{'amount': 84719.41, 'currency': 'BRL'}","{'amount': 2220.75, 'currency': 'BRL'}","{'amount': 82498.66, 'currency': 'BRL'}"
ed8e99e3-84ba-4dc2-82f7-785d39ee7984,LIMITE_CREDITO_TOTAL,"{'amount': 13045.31, 'currency': 'BRL'}","{'amount': 12853.49, 'currency': 'BRL'}","{'amount': 191.8199999999997, 'currency': 'BRL'}"
2b4cc614-a701-4c65-9cee-7b7a358b6f38,LIMITE_CREDITO_TOTAL,"{'amount': 4511.43, 'currency': 'BRL'}","{'amount': 1411.18, 'currency': 'BRL'}","{'amount': 3100.25, 'currency': 'BRL'}"
82baf106-b2a0-43aa-891d-b48598d1044d,LIMITE_CREDITO_TOTAL,"{'amount': 3156.0, 'currency': 'BRL'}","{'amount': 35.53, 'currency': 'BRL'}","{'amount': 3120.47, 'currency': 'BRL'}"
34b9540e-4b60-4ebb-ba9d-0253309e600a,LIMITE_CREDITO_TOTAL,"{'amount': 4594.49, 'currency': 'BRL'}","{'amount': 289.4, 'currency': 'BRL'}","{'amount': 4305.09, 'currency': 'BRL'}"
69ec76e0-9ee3-4c1a-8e1d-c94332132c05,LIMITE_CREDITO_TOTAL,"{'amount': 931.25, 'currency': 'BRL'}","{'amount': 491.49, 'currency': 'BRL'}","{'amount': 439.76, 'currency': 'BRL'}"
30507a4b-60e7-4677-bbd7-9735c9776c5a,LIMITE_CREDITO_TOTAL,"{'amount': 816.89, 'currency': 'BRL'}","{'amount': 483.24, 'currency': 'BRL'}","{'amount': 333.65, 'currency': 'BRL'}"
dab6525a-45b2-434c-ac17-e4acf26a40a3,LIMITE_CREDITO_TOTAL,"{'amount': 17453.25, 'currency': 'BRL'}","{'amount': 13723.8, 'currency': 'BRL'}","{'amount': 3729.4500000000007, 'currency': 'BRL'}"
4a07f2a6-90ba-4738-892d-625db9f2c398,LIMITE_CREDITO_TOTAL,"{'amount': 4912.92, 'currency': 'BRL'}","{'amount': 3675.44, 'currency': 'BRL'}","{'amount': 1237.48, 'currency': 'BRL'}"
67f59bff-eb5b-4da6-bb4b-b6d44f971704,LIMITE_CREDITO_TOTAL,"{'amount': 357.05, 'currency': 'BRL'}","{'amount': 300.6, 'currency': 'BRL'}","{'amount': 56.44999999999999, 'currency': 'BRL'}"
52a6b5f1-0159-4088-86c4-51d1026bebb3,LIMITE_CREDITO_TOTAL,"{'amount': 4121.23, 'currency': 'BRL'}","{'amount': 3006.03, 'currency': 'BRL'}","{'amount': 1115.1999999999994, 'currency': 'BRL'}"
43944093-b3a9-4e96-a81d-dd817c51265b,LIMITE_CREDITO_TOTAL,"{'amount': 14349.57, 'currency': 'BRL'}","{'amount': 14325.97, 'currency': 'BRL'}","{'amount': 23.600000000000364, 'currency': 'BRL'}"
ef36647a-7710-4b4d-a87f-189078bcfae1,LIMITE_CREDITO_TOTAL,"{'amount': 4957.91, 'currency': 'BRL'}","{'amount': 3123.96, 'currency': 'BRL'}","{'amount': 1833.9499999999998, 'currency': 'BRL'}"
35a2a936-3574-46be-a512-0ef7fab5af54,LIMITE_CREDITO_TOTAL,"{'amount': 10338.64, 'currency': 'BRL'}","{'amount': 451.37, 'currency': 'BRL'}","{'amount': 9887.269999999999, 'currency': 'BRL'}"
80dc9942-ca98-46b9-a01c-7118967f6c5a,LIMITE_CREDITO_TOTAL,"{'amount': 2197.65, 'currency': 'BRL'}","{'amount': 556.34, 'currency': 'BRL'}","{'amount': 1641.31, 'currency': 'BRL'}"
5bd949c5-b0c3-4198-bf09-b58eb6772368,LIMITE_CREDITO_TOTAL,"{'amount': 11757.93, 'currency': 'BRL'}","{'amount': 5678.57, 'currency': 'BRL'}","{'amount': 6079.360000000001, 'currency': 'BRL'}"
53f6355d-b246-4907-ba88-654c5373e4d5,LIMITE_CREDITO_TOTAL,"{'amount': 2154.53, 'currency': 'BRL'}","{'amount': 1113.06, 'currency': 'BRL'}","{'amount': 1041.4700000000003, 'currency': 'BRL'}"
3236b58e-d882-402c-978b-d8636b037440,LIMITE_CREDITO_TOTAL,"{'amount': 84932.98, 'currency': 'BRL'}","{'amount': 74160.78, 'currency': 'BRL'}","{'amount': 10772.199999999997, 'currency': 'BRL'}"
81a3a9f3-d3e2-450e-bcf4-6c640d03c0b9,LIMITE_CREDITO_TOTAL,"{'amount': 4714.03, 'currency': 'BRL'}","{'amount': 4191.63, 'currency': 'BRL'}","{'amount': 522.3999999999996, 'currency': 'BRL'}"
d7273f27-5d94-4b82-9f32-bbf8874f0837,LIMITE_CREDITO_TOTAL,"{'amount': 48823.3, 'currency': 'BRL'}","{'amount': 39198.73, 'currency': 'BRL'}","{'amount': 9624.57, 'currency': 'BRL'}"
908de335-ed87-448a-bb76-946436db5f88,LIMITE_CREDITO_TOTAL,"{'amount': 2490.12, 'currency': 'BRL'}","{'amount': 1497.82, 'currency': 'BRL'}","{'amount': 992.3, 'currency': 'BRL'}"
df9de8b9-7df9-4ed8-ba8b-9f0c38b27b14,LIMITE_CREDITO_TOTAL,"{'amount': 3759.55, 'currency': 'BRL'}","{'amount': 1223.83, 'currency': 'BRL'}","{'amount': 2535.7200000000003, 'currency': 'BRL'}"
99f44c94-1374-41b9-837f-799b5023e363,LIMITE_CREDITO_TOTAL,"{'amount': 1850.44, 'currency': 'BRL'}","{'amount': 15.66, 'currency': 'BRL'}","{'amount': 1834.78, 'currency': 'BRL'}"
0d0b3ec1-c510-4598-9235-291813bfb7ba,LIMITE_CREDITO_TOTAL,"{'amount': 3711.43, 'currency': 'BRL'}","{'amount': 3065.04, 'currency': 'BRL'}","{'amount': 646.3899999999999, 'currency': 'BRL'}"
b0402ca9-5826-4b01-8efa-5622f574b460,LIMITE_CREDITO_TOTAL,"{'amount': 21301.2, 'currency': 'BRL'}","{'amount': 18282.16, 'currency': 'BRL'}","{'amount': 3019.040000000001, 'currency': 'BRL'}"
5db0a97a-53a0-4510-a3f0-28850cb821cb,LIMITE_CREDITO_TOTAL,"{'amount': 1953.64, 'currency': 'BRL'}","{'amount': 1852.61, 'currency': 'BRL'}","{'amount': 101.0300000000002, 'currency': 'BRL'}"
13fa376e-7949-4773-af53-585f6acd31f7,LIMITE_CREDITO_TOTAL,"{'amount': 8918.12, 'currency': 'BRL'}","{'amount': 1445.24, 'currency': 'BRL'}","{'amount': 7472.880000000001, 'currency': 'BRL'}"
b6ff0b81-f0b7-470a-8564-207f2d738f84,LIMITE_CREDITO_TOTAL,"{'amount': 1819.1, 'currency': 'BRL'}","{'amount': 18.12, 'currency': 'BRL'}","{'amount': 1800.98, 'currency': 'BRL'}"
fe031dd4-be84-4ad2-b63b-00abebc5eed6,LIMITE_CREDITO_TOTAL,"{'amount': 14064.69, 'currency': 'BRL'}","{'amount': 4010.69, 'currency': 'BRL'}","{'amount': 10054.0, 'currency': 'BRL'}"
7c72c6c8-db66-42ad-908d-e6357a3f8f0a,LIMITE_CREDITO_TOTAL,"{'amount': 919.85, 'currency': 'BRL'}","{'amount': 551.39, 'currency': 'BRL'}","{'amount': 368.46000000000004, 'currency': 'BRL'}"
2a045951-a696-4c2a-8087-e199a744aebc,LIMITE_CREDITO_TOTAL,"{'amount': 4189.17, 'currency': 'BRL'}","{'amount': 3475.18, 'currency': 'BRL'}","{'amount': 713.9900000000002, 'currency': 'BRL'}"
7cd46fd8-5cd3-4ce6-848d-b1bcc726e4b3,LIMITE_CREDITO_TOTAL,"{'amount': 10875.81, 'currency': 'BRL'}","{'amount': 8988.78, 'currency': 'BRL'}","{'amount': 1887.0299999999988, 'currency': 'BRL'}"
144179ad-ea28-42ef-935a-0c9b38655b87,LIMITE_CREDITO_TOTAL,"{'amount': 1745.91, 'currency': 'BRL'}","{'amount': 1034.87, 'currency': 'BRL'}","{'amount': 711.0400000000002, 'currency': 'BRL'}"
6ed9d7d6-4eed-49f3-84b1-97d1845eaccd,LIMITE_CREDITO_TOTAL,"{'amount': 887.71, 'currency': 'BRL'}","{'amount': 723.2, 'currency': 'BRL'}","{'amount': 164.51, 'currency': 'BRL'}"
5267d55f-a2cc-4418-9ffe-1204b4cb0a29,LIMITE_CREDITO_TOTAL,"{'amount': 12063.59, 'currency': 'BRL'}","{'amount': 8705.33, 'currency': 'BRL'}","{'amount': 3358.26, 'currency': 'BRL'}"
dccef204-a8e6-454b-b8c0-7dde764a9862,LIMITE_CREDITO_TOTAL,"{'amount': 42831.24, 'currency': 'BRL'}","{'amount': 30255.26, 'currency': 'BRL'}","{'amount': 12575.98, 'currency': 'BRL'}"
7015dd21-809d-4ed5-85b0-627ba9ac47ec,LIMITE_CREDITO_TOTAL,"{'amount': 178.87, 'currency': 'BRL'}","{'amount': 53.71, 'currency': 'BRL'}","{'amount': 125.16, 'currency': 'BRL'}"
b8becddc-3d83-4320-b33b-88a1c3bfbbdb,LIMITE_CREDITO_TOTAL,"{'amount': 376.83, 'currency': 'BRL'}","{'amount': 103.4, 'currency': 'BRL'}","{'amount': 273.42999999999995, 'currency': 'BRL'}"
ed6d8494-243d-4c71-8884-ab0c74f89707,LIMITE_CREDITO_TOTAL,"{'amount': 757.73, 'currency': 'BRL'}","{'amount': 301.31, 'currency': 'BRL'}","{'amount': 456.42, 'currency': 'BRL'}"
c407bc27-4aac-4801-954a-90bb2a9c7683,LIMITE_CREDITO_TOTAL,"{'amount': 133.09, 'currency': 'BRL'}","{'amount': 46.99, 'currency': 'BRL'}","{'amount': 86.1, 'currency': 'BRL'}"
5a4de7f3-be30-4e26-a819-be63cdf6c6e0,LIMITE_CREDITO_TOTAL,"{'amount': 9766.93, 'currency': 'BRL'}","{'amount': 8405.95, 'currency': 'BRL'}","{'amount': 1360.9799999999996, 'currency': 'BRL'}"
72f34dde-87b7-4863-b24d-fa996dabef72,LIMITE_CREDITO_TOTAL,"{'amount': 13621.01, 'currency': 'BRL'}","{'amount': 2677.05, 'currency': 'BRL'}","{'amount': 10943.96, 'currency': 'BRL'}"
e6e1ceb8-d6f5-416b-b0c5-1b2621fa7ab8,LIMITE_CREDITO_TOTAL,"{'amount': 764.78, 'currency': 'BRL'}","{'amount': 600.79, 'currency': 'BRL'}","{'amount': 163.99, 'currency': 'BRL'}"
49d950a0-052a-4cf8-b03d-42bd85fb70a3,LIMITE_CREDITO_TOTAL,"{'amount': 11686.58, 'currency': 'BRL'}","{'amount': 2172.23, 'currency': 'BRL'}","{'amount': 9514.35, 'currency': 'BRL'}"
b1e28504-1d9e-46d8-9c29-200c3d2b2ec9,LIMITE_CREDITO_TOTAL,"{'amount': 309.94, 'currency': 'BRL'}","{'amount': 273.18, 'currency': 'BRL'}","{'amount': 36.75999999999999, 'currency': 'BRL'}"
0120365b-92a2-4586-a53c-b9d3b9dcb550,LIMITE_CREDITO_TOTAL,"{'amount': 14116.4, 'currency': 'BRL'}","{'amount': 1135.53, 'currency': 'BRL'}","{'amount': 12980.869999999999, 'currency': 'BRL'}"
a7e11d7f-6b69-48f6-84e6-30f968858d98,LIMITE_CREDITO_TOTAL,"{'amount': 1972.94, 'currency': 'BRL'}","{'amount': 1424.16, 'currency': 'BRL'}","{'amount': 548.78, 'currency': 'BRL'}"
94e7e036-3ad2-4738-95d9-0124fdd264a8,LIMITE_CREDITO_TOTAL,"{'amount': 4993.49, 'currency': 'BRL'}","{'amount': 2545.3, 'currency': 'BRL'}","{'amount': 2448.1899999999996, 'currency': 'BRL'}"
eb61a52e-b554-477d-bd1f-10f810f8e074,LIMITE_CREDITO_TOTAL,"{'amount': 7418.33, 'currency': 'BRL'}","{'amount': 7351.7, 'currency': 'BRL'}","{'amount': 66.63000000000011, 'currency': 'BRL'}"
6153184f-b51f-4df3-85b7-8cf4f98335d7,LIMITE_CREDITO_TOTAL,"{'amount': 2758.38, 'currency': 'BRL'}","{'amount': 341.37, 'currency': 'BRL'}","{'amount': 2417.01, 'currency': 'BRL'}"
1c6a8d79-9143-4849-ad36-e0c21f2f1ca6,LIMITE_CREDITO_TOTAL,"{'amount': 20831.6, 'currency': 'BRL'}","{'amount': 15222.22, 'currency': 'BRL'}","{'amount': 5609.379999999999, 'currency': 'BRL'}"
d584539f-5eb5-4c72-9b03-7b0853182333,LIMITE_CREDITO_TOTAL,"{'amount': 4153.53, 'currency': 'BRL'}","{'amount': 3014.42, 'currency': 'BRL'}","{'amount': 1139.1099999999997, 'currency': 'BRL'}"
ffcc663f-54a5-4a58-a091-76fc05498b5f,LIMITE_CREDITO_TOTAL,"{'amount': 260.86, 'currency': 'BRL'}","{'amount': 138.56, 'currency': 'BRL'}","{'amount': 122.30000000000001, 'currency': 'BRL'}"
684dd969-c1a3-435d-813c-d14f32eff1db,LIMITE_CREDITO_TOTAL,"{'amount': 342.35, 'currency': 'BRL'}","{'amount': 218.7, 'currency': 'BRL'}","{'amount': 123.65000000000003, 'currency': 'BRL'}"
bdd76e25-257c-4cfd-b1f5-6f7375cb4cef,LIMITE_CREDITO_TOTAL,"{'amount': 815.43, 'currency': 'BRL'}","{'amount': 596.51, 'currency': 'BRL'}","{'amount': 218.91999999999996, 'currency': 'BRL'}"
2b640cdc-b4de-450a-91dd-c9f41ddbf200,LIMITE_CREDITO_TOTAL,"{'amount': 6185.32, 'currency': 'BRL'}","{'amount': 3041.7, 'currency': 'BRL'}","{'amount': 3143.62, 'currency': 'BRL'}"
204e21ac-4527-4d0c-ae4a-3b67d9090d8a,LIMITE_CREDITO_TOTAL,"{'amount': 679.26, 'currency': 'BRL'}","{'amount': 60.33, 'currency': 'BRL'}","{'amount': 618.93, 'currency': 'BRL'}"
91db98b5-1a10-46ba-8ab7-8b77552aebe5,LIMITE_CREDITO_TOTAL,"{'amount': 4046.05, 'currency': 'BRL'}","{'amount': 44.74, 'currency': 'BRL'}","{'amount': 4001.3100000000004, 'currency': 'BRL'}"
3bac8639-69a4-4b57-8688-7a89c8871aa4,LIMITE_CREDITO_TOTAL,"{'amount': 1044.83, 'currency': 'BRL'}","{'amount': 1023.18, 'currency': 'BRL'}","{'amount': 21.649999999999977, 'currency': 'BRL'}"
87bb05d6-a14a-4b79-b8da-1fa051089b0a,LIMITE_CREDITO_TOTAL,"{'amount': 12695.06, 'currency': 'BRL'}","{'amount': 3008.91, 'currency': 'BRL'}","{'amount': 9686.15, 'currency': 'BRL'}"
938c5f61-3a40-45af-8227-8806043bc709,LIMITE_CREDITO_TOTAL,"{'amount': 1945.1, 'currency': 'BRL'}","{'amount': 1708.77, 'currency': 'BRL'}","{'amount': 236.32999999999993, 'currency': 'BRL'}"
01989e23-a447-4683-ad33-3f68c692db5f,LIMITE_CREDITO_TOTAL,"{'amount': 5820.41, 'currency': 'BRL'}","{'amount': 517.0, 'currency': 'BRL'}","{'amount': 5303.41, 'currency': 'BRL'}"
cc7e4490-3de0-42a4-befe-e0a9c4af0d2b,LIMITE_CREDITO_TOTAL,"{'amount': 567.22, 'currency': 'BRL'}","{'amount': 485.35, 'currency': 'BRL'}","{'amount': 81.87, 'currency': 'BRL'}"
9a37737d-8a31-46f5-8d28-040ce20663d9,LIMITE_CREDITO_TOTAL,"{'amount': 696.23, 'currency': 'BRL'}","{'amount': 566.91, 'currency': 'BRL'}","{'amount': 129.32000000000005, 'currency': 'BRL'}"
0c531d04-5caa-4244-b322-88fab0bb82e8,LIMITE_CREDITO_TOTAL,"{'amount': 25433.96, 'currency': 'BRL'}","{'amount': 1923.48, 'currency': 'BRL'}","{'amount': 23510.48, 'currency': 'BRL'}"
2c652434-c9de-49a9-a53c-983a97ab22e9,LIMITE_CREDITO_TOTAL,"{'amount': 22711.42, 'currency': 'BRL'}","{'amount': 4875.97, 'currency': 'BRL'}","{'amount': 17835.449999999997, 'currency': 'BRL'}"
786c8d7c-97cc-4835-be27-5c28ff1d6db9,LIMITE_CREDITO_TOTAL,"{'amount': 8915.77, 'currency': 'BRL'}","{'amount': 2405.1, 'currency': 'BRL'}","{'amount': 6510.67, 'currency': 'BRL'}"
17f0e7a5-79ca-45ed-93cd-105c24465945,LIMITE_CREDITO_TOTAL,"{'amount': 14274.56, 'currency': 'BRL'}","{'amount': 2125.69, 'currency': 'BRL'}","{'amount': 12148.869999999999, 'currency': 'BRL'}"
63fa8ba0-11a9-49fc-bb66-9c88baebb09e,LIMITE_CREDITO_TOTAL,"{'amount': 788.84, 'currency': 'BRL'}","{'amount': 668.67, 'currency': 'BRL'}","{'amount': 120.17000000000007, 'currency': 'BRL'}"
40068e4d-de87-41ae-9d2b-2e4fc7d5edfa,LIMITE_CREDITO_TOTAL,"{'amount': 13555.36, 'currency': 'BRL'}","{'amount': 4785.75, 'currency': 'BRL'}","{'amount': 8769.61, 'currency': 'BRL'}"
03bbf188-f750-4c79-8b29-e1a0ad36b52a,LIMITE_CREDITO_TOTAL,"{'amount': 12129.61, 'currency': 'BRL'}","{'amount': 4921.42, 'currency': 'BRL'}","{'amount': 7208.1900000000005, 'currency': 'BRL'}"
05d93199-1965-40b5-993f-3d538814081c,LIMITE_CREDITO_TOTAL,"{'amount': 316.23, 'currency': 'BRL'}","{'amount': 156.39, 'currency': 'BRL'}","{'amount': 159.84000000000003, 'currency': 'BRL'}"
97f52feb-9e12-4712-b295-82024a490703,LIMITE_CREDITO_TOTAL,"{'amount': 813.27, 'currency': 'BRL'}","{'amount': 328.77, 'currency': 'BRL'}","{'amount': 484.5, 'currency': 'BRL'}"
294dc941-5fe3-4635-8c77-10801695ac04,LIMITE_CREDITO_TOTAL,"{'amount': 4644.21, 'currency': 'BRL'}","{'amount': 4071.72, 'currency': 'BRL'}","{'amount': 572.4900000000002, 'currency': 'BRL'}"
78b11bc7-cefc-4956-acf5-08ae0dd91a60,LIMITE_CREDITO_TOTAL,"{'amount': 24833.48, 'currency': 'BRL'}","{'amount': 12628.32, 'currency': 'BRL'}","{'amount': 12205.16, 'currency': 'BRL'}"
51055e05-0a62-42e8-b9b9-2f6d74a6be89,LIMITE_CREDITO_TOTAL,"{'amount': 4575.27, 'currency': 'BRL'}","{'amount': 4363.47, 'currency': 'BRL'}","{'amount': 211.80000000000018, 'currency': 'BRL'}"
b195dd74-b5b2-455c-834a-50059fa2ef06,LIMITE_CREDITO_TOTAL,"{'amount': 8612.35, 'currency': 'BRL'}","{'amount': 1400.48, 'currency': 'BRL'}","{'amount': 7211.870000000001, 'currency': 'BRL'}"
3078cc92-2305-4c27-9ec1-2f174600cb3d,LIMITE_CREDITO_TOTAL,"{'amount': 3427.21, 'currency': 'BRL'}","{'amount': 2558.91, 'currency': 'BRL'}","{'amount': 868.3000000000002, 'currency': 'BRL'}"
6aa5add7-a8f5-46f0-bb6d-9e46b2fbf302,LIMITE_CREDITO_TOTAL,"{'amount': 831.21, 'currency': 'BRL'}","{'amount': 49.85, 'currency': 'BRL'}","{'amount': 781.36, 'currency': 'BRL'}"
82cf53ec-192d-4ff0-9a83-fab553ba20cc,LIMITE_CREDITO_TOTAL,"{'amount': 1493.34, 'currency': 'BRL'}","{'amount': 898.51, 'currency': 'BRL'}","{'amount': 594.8299999999999, 'currency': 'BRL'}"
9f3a053e-320c-4f25-b0ee-f9e08c511667,LIMITE_CREDITO_TOTAL,"{'amount': 201.45, 'currency': 'BRL'}","{'amount': 93.49, 'currency': 'BRL'}","{'amount': 107.96, 'currency': 'BRL'}"
6de553af-2c3f-4d61-9293-6a9c8a8b309f,LIMITE_CREDITO_TOTAL,"{'amount': 13818.8, 'currency': 'BRL'}","{'amount': 6970.83, 'currency': 'BRL'}","{'amount': 6847.969999999999, 'currency': 'BRL'}"
9ce9e3bc-1efa-4462-9bb9-871c70335025,LIMITE_CREDITO_TOTAL,"{'amount': 26778.07, 'currency': 'BRL'}","{'amount': 9197.76, 'currency': 'BRL'}","{'amount': 17580.309999999998, 'currency': 'BRL'}"
18fd24d2-b65a-4ca7-8e02-8c5b5c5c60d8,LIMITE_CREDITO_TOTAL,"{'amount': 16523.68, 'currency': 'BRL'}","{'amount': 3191.05, 'currency': 'BRL'}","{'amount': 13332.630000000001, 'currency': 'BRL'}"
93d36ed8-c9b7-445d-b050-0745961b0db6,LIMITE_CREDITO_TOTAL,"{'amount': 3727.82, 'currency': 'BRL'}","{'amount': 3429.47, 'currency': 'BRL'}","{'amount': 298.35000000000036, 'currency': 'BRL'}"
c98a65e4-499c-431c-a92b-8cd0dbf31739,LIMITE_CREDITO_TOTAL,"{'amount': 17377.59, 'currency': 'BRL'}","{'amount': 5278.3, 'currency': 'BRL'}","{'amount': 12099.29, 'currency': 'BRL'}"
